journal_name,JCR_abbreviation,ISSN,eISSN,2021_JIF,JIF_quartile,pct_OA_gold,total_articles,subfield
Advanced Intelligent Systems,ADV INTELL SYST-GER,N/A,2640-4567,7.298,Q1,85.90%,184,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Advanced Intelligent Systems,ADV INTELL SYST-GER,N/A,2640-4567,7.298,Q1,85.90%,184,ROBOTICS - SCIE
Science China-Information Sciences,SCI CHINA INFORM SCI,1674-733X,1869-1919,7.275,Q1,0.78%,164,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
Diagnostic and Interventional Imaging,DIAGN INTERV IMAG,2211-5684,2211-5684,7.242,Q1,3.78%,66,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
IEEE Transactions on Information Forensics and Security,IEEE T INF FOREN SEC,1556-6013,1556-6021,7.231,Q1,10.70%,387,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
Zeitschrift fur Medizinische Physik,Z MED PHYS,0939-3889,1876-4436,7.215,Q1,12.87%,35,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
Computers & Industrial Engineering,COMPUT IND ENG,0360-8352,1879-0550,7.18,Q1,2.02%,754,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
JOURNAL OF INTELLIGENT MANUFACTURING,J INTELL MANUF,0956-5515,1572-8145,7.136,Q1,9.87%,143,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
KOREAN JOURNAL OF RADIOLOGY,KOREAN J RADIOL,1229-6929,2005-8330,7.109,Q1,35.82%,133,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
Physical and Engineering Sciences in Medicine,PHYS ENG SCI MED,2662-4729,2662-4737,7.099,Q1,1.36%,106,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
JOURNAL OF MEDICAL INTERNET RESEARCH,J MED INTERNET RES,1438-8871,N/A,7.077,Q1,99.39%,"1,036",MEDICAL INFORMATICS - SCIE
EUROPEAN RADIOLOGY,EUR RADIOL,0938-7994,1432-1084,7.034,Q1,21.90%,750,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
Computer Methods and Programs in Biomedicine,COMPUT METH PROG BIO,0169-2607,1872-7565,7.027,Q1,8.44%,552,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
Computer Methods and Programs in Biomedicine,COMPUT METH PROG BIO,0169-2607,1872-7565,7.027,Q1,8.44%,552,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
Computer Methods and Programs in Biomedicine,COMPUT METH PROG BIO,0169-2607,1872-7565,7.027,Q1,8.44%,552,MEDICAL INFORMATICS - SCIE
IEEE Journal of Biomedical and Health Informatics,IEEE J BIOMED HEALTH,2168-2194,2168-2208,7.021,Q1,10.63%,406,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
IEEE Journal of Biomedical and Health Informatics,IEEE J BIOMED HEALTH,2168-2194,2168-2208,7.021,Q1,10.63%,406,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
IEEE Journal of Biomedical and Health Informatics,IEEE J BIOMED HEALTH,2168-2194,2168-2208,7.021,Q1,10.63%,406,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE
IEEE Journal of Biomedical and Health Informatics,IEEE J BIOMED HEALTH,2168-2194,2168-2208,7.021,Q1,10.63%,406,MEDICAL INFORMATICS - SCIE
Artificial Intelligence in Medicine,ARTIF INTELL MED,0933-3657,1873-2860,7.011,Q1,11%,136,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Artificial Intelligence in Medicine,ARTIF INTELL MED,0933-3657,1873-2860,7.011,Q1,11%,136,MEDICAL INFORMATICS - SCIE
Journal of Statistical Software,J STAT SOFTW,1548-7660,1548-7660,6.992,Q1,96.24%,64,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,0167-9236,1873-5797,6.969,Q1,8.42%,130,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,0167-9236,1873-5797,6.969,Q1,8.42%,130,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
BIOINFORMATICS,BIOINFORMATICS,1367-4803,1460-2059,6.931,Q1,39.23%,910,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,J CARDIOVASC MAGN R,1097-6647,1532-429X,6.903,Q1,99.65%,127,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
RADIOTHERAPY AND ONCOLOGY,RADIOTHER ONCOL,0167-8140,1879-0887,6.901,Q1,19.62%,382,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH,INT J ROBOT RES,0278-3649,1741-3176,6.887,Q1,11.72%,70,ROBOTICS - SCIE
IEEE Transactions on Robotics,IEEE T ROBOT,1552-3098,1941-0468,6.835,Q1,12.85%,266,ROBOTICS - SCIE
IEEE Transactions on Dependable and Secure Computing,IEEE T DEPEND SECURE,1545-5971,1941-0018,6.791,Q1,7.35%,204,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE"
IEEE Transactions on Dependable and Secure Computing,IEEE T DEPEND SECURE,1545-5971,1941-0018,6.791,Q1,7.35%,204,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
IEEE Transactions on Dependable and Secure Computing,IEEE T DEPEND SECURE,1545-5971,1941-0018,6.791,Q1,7.35%,204,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
COMPUTERS AND ELECTRONICS IN AGRICULTURE,COMPUT ELECTRON AGR,0168-1699,1872-7107,6.757,Q1,8.43%,608,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
IEEE INTELLIGENT SYSTEMS,IEEE INTELL SYST,1541-1672,1941-1294,6.744,Q1,1.32%,66,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Complex & Intelligent Systems,COMPLEX INTELL SYST,2199-4536,2198-6053,6.7,Q1,99.61%,354,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
COMPUTERS IN BIOLOGY AND MEDICINE,COMPUT BIOL MED,0010-4825,1879-0534,6.698,Q1,11.04%,860,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
COMPUTERS IN BIOLOGY AND MEDICINE,COMPUT BIOL MED,0010-4825,1879-0534,6.698,Q1,11.04%,860,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE
IEEE Transactions on Automation Science and Engineering,IEEE T AUTOM SCI ENG,1545-5955,1558-3783,6.636,Q1,7.48%,382,AUTOMATION & CONTROL SYSTEMS - SCIE
IEEE Transactions on Emerging Topics in Computing,IEEE T EMERG TOP COM,2168-6750,2168-6750,6.595,Q1,4.36%,171,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
AMERICAN JOURNAL OF ROENTGENOLOGY,AM J ROENTGENOL,0361-803X,1546-3141,6.582,Q1,0.74%,226,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
Human-centric Computing and Information Sciences,HUM-CENT COMPUT INFO,N/A,2192-1962,6.558,Q1,66.90%,47,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
IEEE TRANSACTIONS ON AUTOMATIC CONTROL,IEEE T AUTOMAT CONTR,0018-9286,1558-2523,6.549,Q1,8.88%,599,AUTOMATION & CONTROL SYSTEMS - SCIE
HUMAN-COMPUTER INTERACTION,HUM-COMPUT INTERACT,0737-0024,1532-7051,6.459,Q1,22.39%,29,"COMPUTER SCIENCE, CYBERNETICS - SCIE"
HUMAN-COMPUTER INTERACTION,HUM-COMPUT INTERACT,0737-0024,1532-7051,6.459,Q1,22.39%,29,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
Journal of Field Robotics,J FIELD ROBOT,1556-4959,1556-4967,6.385,Q2,14.66%,41,ROBOTICS - SCIE
Internet Research,INTERNET RES,1066-2243,1066-2243,6.353,Q1,5.82%,97,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
MIS Quarterly Executive,MIS Q EXEC,1540-1960,1540-1979,6.353,Q1,0%,17,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
International Journal of Neural Systems,INT J NEURAL SYST,0129-0657,1793-6462,6.325,Q1,8.29%,64,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Radiologia Medica,RADIOL MED,0033-8362,1826-6983,6.313,Q1,11.70%,109,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
RADIOGRAPHICS,RADIOGRAPHICS,0271-5333,N/A,6.312,Q1,1.73%,119,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
Journal of the American College of Radiology,J AM COLL RADIOL,1546-1440,1558-349X,6.24,Q1,2.66%,176,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
Journal of Computational Design and Engineering,J COMPUT DES ENG,N/A,2288-5048,6.167,Q1,96.05%,102,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
Journal of Chemical Information and Modeling,J CHEM INF MODEL,1549-9596,1549-960X,6.162,Q1,11.03%,535,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
Journal of Chemical Information and Modeling,J CHEM INF MODEL,1549-9596,1549-960X,6.162,Q1,11.03%,535,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
AUTOMATICA,AUTOMATICA,0005-1098,1873-2836,6.15,Q1,3.73%,527,AUTOMATION & CONTROL SYSTEMS - SCIE
INTEGRATED COMPUTER-AIDED ENGINEERING,INTEGR COMPUT-AID E,1069-2509,1875-8835,6.137,Q1,2.67%,24,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
INTEGRATED COMPUTER-AIDED ENGINEERING,INTEGR COMPUT-AID E,1069-2509,1875-8835,6.137,Q1,2.67%,24,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
IEEE TRANSACTIONS ON MOBILE COMPUTING,IEEE T MOBILE COMPUT,1536-1233,1558-0660,6.075,Q1,7.07%,236,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
Machine Learning-Science and Technology,MACH LEARN-SCI TECHN,N/A,2632-2153,6.013,Q1,100%,114,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Machine Learning-Science and Technology,MACH LEARN-SCI TECHN,N/A,2632-2153,6.013,Q1,100%,114,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
IEEE CONTROL SYSTEMS MAGAZINE,IEEE CONTR SYST MAG,1066-033X,1941-000X,5.972,Q1,28.81%,23,AUTOMATION & CONTROL SYSTEMS - SCIE
ISA TRANSACTIONS,ISA T,0019-0578,1879-2022,5.911,Q1,0.64%,309,AUTOMATION & CONTROL SYSTEMS - SCIE
IEEE TRANSACTIONS ON RELIABILITY,IEEE T RELIAB,0018-9529,1558-1721,5.883,Q1,4.02%,176,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE"
IEEE TRANSACTIONS ON RELIABILITY,IEEE T RELIAB,0018-9529,1558-1721,5.883,Q1,4.02%,176,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
IEEE-ASME TRANSACTIONS ON MECHATRONICS,IEEE-ASME T MECH,1083-4435,1941-014X,5.867,Q1,5.54%,385,AUTOMATION & CONTROL SYSTEMS - SCIE
JOURNAL OF SYSTEMS ARCHITECTURE,J SYST ARCHITECT,1383-7621,1873-6165,5.836,Q1,7.14%,210,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE"
JOURNAL OF SYSTEMS ARCHITECTURE,J SYST ARCHITECT,1383-7621,1873-6165,5.836,Q1,7.14%,210,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
JOURNAL OF COMPUTING IN CIVIL ENGINEERING,J COMPUT CIVIL ENG,0887-3801,1943-5487,5.802,Q2,0.54%,55,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
NEUROCOMPUTING,NEUROCOMPUTING,0925-2312,1872-8286,5.779,Q2,2.35%,"1,790","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Internet of Things,INTERNET THINGS-NETH,2543-1536,2542-6605,5.711,Q1,7.94%,111,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
IEEE Transactions on Cloud Computing,IEEE T CLOUD COMPUT,2168-7161,2168-7161,5.697,Q1,6.47%,121,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
IEEE Transactions on Cloud Computing,IEEE T CLOUD COMPUT,2168-7161,2168-7161,5.697,Q1,6.47%,121,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
Business & Information Systems Engineering,BUS INFORM SYST ENG+,2363-7005,1867-0202,5.675,Q1,50.44%,30,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
Journal of Enterprise Information Management,J ENTERP INF MANAG,1741-0398,1758-7409,5.661,Q1,0.37%,82,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
Electronic Commerce Research and Applications,ELECTRON COMMER R A,1567-4223,1873-7846,5.622,Q1,3.56%,78,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
Electronic Commerce Research and Applications,ELECTRON COMMER R A,1567-4223,1873-7846,5.622,Q1,3.56%,78,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
International Journal of Computer-Supported Collaborative Learning,INT J COMP-SUPP COLL,1556-1607,1556-1615,5.611,Q1,31.48%,18,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
CANCER IMAGING,CANCER IMAGING,1740-5025,1470-7330,5.605,Q1,100%,61,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
JOURNAL OF THORACIC IMAGING,J THORAC IMAG,0883-5993,1536-0237,5.528,Q1,3.92%,46,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
Computer Networks,COMPUT NETW,1389-1286,1872-7069,5.493,Q1,5.97%,458,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE"
Computer Networks,COMPUT NETW,1389-1286,1872-7069,5.493,Q1,5.97%,458,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
INFORMATION SYSTEMS RESEARCH,INFORM SYST RES,1047-7047,1526-5536,5.49,Q1,0%,105,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
ACADEMIC RADIOLOGY,ACAD RADIOL,1076-6332,1878-4046,5.482,Q1,4.62%,258,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
Nonlinear Analysis-Hybrid Systems,NONLINEAR ANAL-HYBRI,1751-570X,1878-7460,5.477,Q1,1.29%,116,AUTOMATION & CONTROL SYSTEMS - SCIE
ENVIRONMENTAL MODELLING & SOFTWARE,ENVIRON MODELL SOFTW,1364-8152,1873-6726,5.471,Q2,21.70%,260,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
ULTRASCHALL IN DER MEDIZIN,ULTRASCHALL MED,0172-4614,1438-8782,5.445,Q1,1.67%,66,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
SEMINARS IN RADIATION ONCOLOGY,SEMIN RADIAT ONCOL,1053-4296,1532-9461,5.421,Q1,4.80%,49,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,IEEE T CONTR SYST T,1063-6536,1558-0865,5.418,Q2,6.91%,361,AUTOMATION & CONTROL SYSTEMS - SCIE
MACHINE LEARNING,MACH LEARN,0885-6125,1573-0565,5.414,Q2,37.50%,158,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
DATA MINING AND KNOWLEDGE DISCOVERY,DATA MIN KNOWL DISC,1384-5810,1573-756X,5.406,Q1,34.47%,77,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
DATA MINING AND KNOWLEDGE DISCOVERY,DATA MIN KNOWL DISC,1384-5810,1573-756X,5.406,Q1,34.47%,77,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
HUMAN BRAIN MAPPING,HUM BRAIN MAPP,1065-9471,1097-0193,5.399,Q1,67.84%,363,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
Information and Organization,INFORM ORGAN-UK,1471-7727,1873-7919,5.387,Q1,9.62%,21,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
COMPUTERS & STRUCTURES,COMPUT STRUCT,0045-7949,1879-2243,5.372,Q2,4.90%,190,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
Internet Interventions-The Application of Information Technology in Mental and Behavioural Health,INTERNET INTERV,N/A,2214-7829,5.358,Q2,100%,123,MEDICAL INFORMATICS - SCIE
Journal of the Association for Information Systems,J ASSOC INF SYST,1536-9323,1558-3457,5.346,Q1,0%,54,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
Journal of the Association for Information Systems,J ASSOC INF SYST,1536-9323,1558-3457,5.346,Q1,0%,54,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
MINDS AND MACHINES,MIND MACH,0924-6495,1572-8641,5.339,Q2,50.60%,24,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
IEEE Wireless Communications Letters,IEEE WIREL COMMUN LE,2162-2337,2162-2345,5.281,Q1,3.80%,577,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
BIOSTATISTICS,BIOSTATISTICS,1465-4644,1468-4357,5.279,Q1,13.68%,101,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,1568-4539,1573-2908,5.274,Q2,1.16%,23,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
INFORMATION SYSTEMS FRONTIERS,INFORM SYST FRONT,1387-3326,1572-9419,5.261,Q1,22.78%,134,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
INFORMATION SYSTEMS FRONTIERS,INFORM SYST FRONT,1387-3326,1572-9419,5.261,Q1,22.78%,134,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
IEEE ROBOTICS & AUTOMATION MAGAZINE,IEEE ROBOT AUTOM MAG,1070-9932,1558-223X,5.229,Q2,13.16%,43,AUTOMATION & CONTROL SYSTEMS - SCIE
IEEE ROBOTICS & AUTOMATION MAGAZINE,IEEE ROBOT AUTOM MAG,1070-9932,1558-223X,5.229,Q2,13.16%,43,ROBOTICS - SCIE
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,IEEE T VIS COMPUT GR,1077-2626,1941-0506,5.226,Q1,5.40%,371,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE"
COMPUTERS AND GEOTECHNICS,COMPUT GEOTECH,0266-352X,1873-7633,5.218,Q2,3.50%,549,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
JOURNAL OF MACHINE LEARNING RESEARCH,J MACH LEARN RES,1532-4435,N/A,5.177,Q2,0%,250,AUTOMATION & CONTROL SYSTEMS - SCIE
JOURNAL OF MACHINE LEARNING RESEARCH,J MACH LEARN RES,1532-4435,N/A,5.177,Q2,0%,250,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Journal of Cardiovascular Computed Tomography,J CARDIOVASC COMPUT,1934-5925,1934-5925,5.17,Q1,8.42%,59,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
COMPUTERS & GEOSCIENCES,COMPUT GEOSCI-UK,0098-3004,1873-7803,5.168,Q2,9.26%,230,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
COMPUTERS & OPERATIONS RESEARCH,COMPUT OPER RES,0305-0548,1873-765X,5.159,Q2,6.12%,359,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,INT J GEOGR INF SCI,1365-8816,1362-3087,5.152,Q1,11.94%,80,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,INT J GEOGR INF SCI,1365-8816,1362-3087,5.152,Q1,11.94%,80,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
JOURNAL OF INFORMATION TECHNOLOGY,J INF TECHNOL-UK,0268-3962,1466-4437,5.15,Q1,24.62%,24,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
JOURNAL OF INFORMATION TECHNOLOGY,J INF TECHNOL-UK,0268-3962,1466-4437,5.15,Q1,24.62%,24,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI
JOURNAL OF MAGNETIC RESONANCE IMAGING,J MAGN RESON IMAGING,1053-1807,1522-2586,5.119,Q1,14.54%,296,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
COMPUTERS & SECURITY,COMPUT SECUR,0167-4048,1872-6208,5.105,Q2,7.06%,366,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
NEURAL COMPUTING & APPLICATIONS,NEURAL COMPUT APPL,0941-0643,1433-3058,5.102,Q2,6.25%,"1,081","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
COMPUTER COMMUNICATIONS,COMPUT COMMUN,0140-3664,1873-703X,5.047,Q2,2.60%,350,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
Insights into Imaging,INSIGHTS IMAGING,1869-4101,1869-4101,5.036,Q2,98.86%,114,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
APPLIED INTELLIGENCE,APPL INTELL,0924-669X,1573-7497,5.019,Q2,5.02%,837,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Health Information Science and Systems,HEALTH INF SCI SYST,2047-2501,2047-2501,5.017,Q2,18.95%,34,MEDICAL INFORMATICS - SCIE
IEEE Transactions on Intelligent Vehicles,IEEE T INTELL VEHICL,2379-8858,2379-8904,5.009,Q2,5%,66,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
AMERICAN JOURNAL OF NEURORADIOLOGY,AM J NEURORADIOL,0195-6108,1936-959X,4.966,Q2,89.89%,312,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
Journal of Information Security and Applications,J INF SECUR APPL,2214-2126,2214-2134,4.96,Q2,5.16%,219,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
JMIR mHealth and uHealth,JMIR MHEALTH UHEALTH,2291-5222,2291-5222,4.948,Q2,99.23%,293,MEDICAL INFORMATICS - SCIE
International Journal of Interactive Multimedia and Artificial Intelligence,INT J INTERACT MULTI,1989-1660,1989-1660,4.936,Q2,100%,74,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
International Journal of Interactive Multimedia and Artificial Intelligence,INT J INTERACT MULTI,1989-1660,1989-1660,4.936,Q2,100%,74,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
Sustainable Computing-Informatics & Systems,SUSTAIN COMPUT-INFOR,2210-5379,2210-5387,4.923,Q1,1.47%,129,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE"
Sustainable Computing-Informatics & Systems,SUSTAIN COMPUT-INFOR,2210-5379,2210-5387,4.923,Q1,1.47%,129,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,INT J HUM-COMPUT INT,1044-7318,1532-7590,4.92,Q1,8.87%,183,"COMPUTER SCIENCE, CYBERNETICS - SCIE"
JOURNAL OF MEDICAL SYSTEMS,J MED SYST,0148-5598,1573-689X,4.92,Q2,10.55%,94,MEDICAL INFORMATICS - SCIE
IEEE Transactions on Sustainable Computing,IEEE T SUST COMPUT,2377-3782,2377-3782,4.908,Q1,1.53%,55,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE"
IEEE Transactions on Sustainable Computing,IEEE T SUST COMPUT,2377-3782,2377-3782,4.908,Q1,1.53%,55,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
JOURNAL OF DIGITAL IMAGING,J DIGIT IMAGING,0897-1889,1618-727X,4.903,Q2,15.90%,121,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
Cognitive Computation,COGN COMPUT,1866-9956,1866-9964,4.89,Q2,14.12%,178,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
COMPUTER VISION AND IMAGE UNDERSTANDING,COMPUT VIS IMAGE UND,1077-3142,1090-235X,4.886,Q2,7.80%,104,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,INT J HUM-COMPUT ST,1071-5819,1095-9300,4.866,Q1,14.50%,104,"COMPUTER SCIENCE, CYBERNETICS - SCIE"
IEEE Transactions on Emerging Topics in Computational Intelligence,IEEE T EM TOP COMP I,2471-285X,2471-285X,4.851,Q2,1.64%,143,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
Current Bioinformatics,CURR BIOINFORM,1574-8936,2212-392X,4.85,Q1,0%,109,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE
Ad Hoc Networks,AD HOC NETW,1570-8705,1570-8713,4.816,Q2,3.06%,178,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
INDUSTRIAL MANAGEMENT & DATA SYSTEMS,IND MANAGE DATA SYST,0263-5577,1758-5783,4.803,Q2,1.12%,98,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE"
IEEE Systems Journal,IEEE SYST J,1932-8184,1937-9234,4.802,Q2,2.58%,934,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
SEMINARS IN NUCLEAR MEDICINE,SEMIN NUCL MED,0001-2998,1558-4623,4.802,Q2,6.67%,0,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE"
PLoS Computational Biology,PLOS COMPUT BIOL,1553-734X,1553-7358,4.779,Q1,99.65%,922,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE
EVOLUTIONARY COMPUTATION,EVOL COMPUT,1063-6560,1530-9304,4.766,Q1,4.55%,18,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE"
EVOLUTIONARY COMPUTATION,EVOL COMPUT,1063-6560,1530-9304,4.766,Q1,4.55%,18,"COMPUTER SCIENCE, THEORY & METHODS - SCIE"
IEEE Transactions on Network and Service Management,IEEE T NETW SERV MAN,1932-4537,1932-4537,4.758,Q2,3.36%,329,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE"
